Category,Subcategory,Title,Brand,Country,URL
Молочные продукты и яйца,Йогурт,Продукт йогуртный 3.2% пастеризованный Персик-Манго Эрмигурт Молочный Ehrmann ст 100г,ТМ Ehrmann,RU,https://contentservice.kz/product/4606779900402-kz-yogurt-ehrmann-ermigurt-persikmango-32-100gr-stak
Молочные продукты и яйца,Йогурт,Напиток йогуртный 0.1% стерилизованный С соком персика Нежный Campina п/бут 285г,ТМ Campina,RU,https://contentservice.kz/product/4605627008345-kz-napitok-pitevoy-campina-nezhnyy-s-sokom-persika-01-285ml-pb
Молочные продукты и яйца,Йогурт,Биойогурт 2.1% питьевой Клубника-Земляника Активиа п/бут 670г,ТМ Активиа,KZ,https://contentservice.kz/product/4870206411735-kz-napitok-pitevoy-danone-aktivia-klubnzeml-690ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Малина Le'Vital Эмиль ст 2х180г,ТМ Эмиль,KZ,https://contentservice.kz/product/4870005354639-kz-yogurt-emil-tvor-desert-s-malinoy-25-200gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 2.6% Клубника-Киви Чудо д/п 110г,ТМ Чудо,RU,https://contentservice.kz/product/4690228035616-kz-yogurt-chudo-gustoy-klubnika-kivi-4-110gr-dp
Молочные продукты и яйца,Йогурт,Продукт кисломолочный 2.5% Экстракт кофе-Красный апельсин-Асаи Tonus Actimel п/бут 100г,ТМ Actimel,RU,https://contentservice.kz/product/4600605024928-kz-produkt-kislomolochnyy-actimel-kofekrasnyy-apelsinasai-25-100gr-pb
Молочные продукты и яйца,Йогурт,Йогурт 2.4% Испанский апельсин Чудо п/бут 270г,ТМ Чудо,RU,https://contentservice.kz/product/4690228101069-kz-yogurt-pitevoy-chudo-ispanskiy-apelsin-270gr-pb
Молочные продукты и яйца,Йогурт,Бифидойогурт 2.7% термостатный натуральный Черника Активиа ст 170г,ТМ Активиа,RU,https://contentservice.kz/product/4600605021804-kz-bioyogurt-danone-aktivia-termostatnaya-s-chernikoy-27-170gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 5% пастеризованный С соком малины и земляники Нежный сливочный Campina ст 110г,ТМ Campina,RU,https://contentservice.kz/product/4605627011130-kz-produkt-yogurtnyy-campina-nezhnyy-s-sokom-malinyzemlyaniki-5-100gr-stak
Молочные продукты и яйца,Йогурт,Десерт творожный 10% с черникой Эмиль ст 200г,ТМ Эмиль,KZ,https://contentservice.kz/product/4870005354592-kz-yogurt-emil-tvor-desert-s-chernikoy-10-200gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 0.1% пастеризованный Лесные ягоды Легкий Fruttis Campina ст 310г,ТМ Campina,RU,https://contentservice.kz/product/4605627007164-kz-yogurt-campina-fruttis-legkiy-lesnye-yagody-01-310gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 0.1% пастеризованный С соком банана и клубники Лёгкий Нежный Campina ст 95г,ТМ Campina,RU,https://contentservice.kz/product/4605627009601-kz-produkt-yogurtnyy-campina-nezhnyy-legkiy-banan-i-klubn-01-95gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 1.5% Клубника-малина Nәtige т/п 450г,ТМ Nәtige,KZ,https://contentservice.kz/product/4870003751300-kz-yogurt-0450kg-15-zhirn-klubnika
Молочные продукты и яйца,Йогурт,Йогурт 1.2% обогащенный бифидобактериями и витаминами Клубника Имуно Био Баланс п/бут 310г,ТМ Био Баланс,KZ,https://contentservice.kz/product/4870206414064-kz-yogurt-bio-balans-imuno-klubnika-vitaminypribiotiki-310gr-pb
Молочные продукты и яйца,Йогурт,Продукт йогуртный 0.3% пастеризованный Клубника-Земляника Эрмигурт Лёгкий Ehrmann ст 100г,ТМ Ehrmann,RU,https://contentservice.kz/product/4606779900204-kz-yogurt-ehrmann-ermigurt-legkiy-klubnzeml-03-100gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Черника-овсянка-орехи Danone п/бут 270г,ТМ Danone,KZ,https://contentservice.kz/product/4870206414903-kz-yogurt-danone-zhivoy-chernikaovsyankaorehi-270gr-pb
